ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_builtup_WSF19,RP10_builtup_WSF19_exp,RP20_builtup_WSF19_exp,RP50_builtup_WSF19_exp,RP100_builtup_WSF19_exp,RP200_builtup_WSF19_exp,RP500_builtup_WSF19_exp,RP10_builtup_WSF19_imp,RP20_builtup_WSF19_imp,RP50_builtup_WSF19_imp,RP100_builtup_WSF19_imp,RP200_builtup_WSF19_imp,RP500_builtup_WSF19_imp,RP10_EAI,RP20_EAI,RP50_EAI,RP100_EAI,RP200_EAI,RP500_EAI,builtup_WSF19_EAI,builtup_WSF19_EAI%
211001,2110,21,KHM,Angkanh,Treang,Takeo,Cambodia,44.879,0,0,0.0,43.777,43.777,43.777,0,0,0.0,0.0,0.01,0.088,0,0,0.0,0.0,0.0,0.0,0.0,0.001
230101,2301,23,KHM,Angkaol,Damnak Chang'aeur,Kep,Cambodia,25.362,0,0,0.0,10.977,10.977,10.977,0,0,0.0,0.0,0.004,0.05,0,0,0.0,0.0,0.0,0.0,0.0,0.001
140601,1406,14,KHM,Angkor Angk,Peam Chor,Prey Veng,Cambodia,18.272,0,0,0.0,16.633,16.633,16.633,0,0,0.0,0.0,0.003,0.021,0,0,0.0,0.0,0.0,0.0,0.0,0.0
21002,210,2,KHM,Angkor Ban,Sampov Lun,Battambang,Cambodia,35.75,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30701,307,3,KHM,Angkor Ban,Kang Meas,Kampong Cham,Cambodia,59.864,0,0,0.0,0.0,0.0,59.623,0,0,0.0,0.0,0.0,0.004,0,0,0.0,0.0,0.0,0.0,0.0,0.0
210101,2101,21,KHM,Angkor Borei,Angkor Borei,Takeo,Cambodia,84.102,0,0,0.0,36.64,80.04,80.04,0,0,0.0,0.0,0.011,0.104,0,0,0.0,0.0,0.0,0.0,0.0,0.0
140901,1409,14,KHM,Angkor Reach,Preah Sdach,Prey Veng,Cambodia,67.31,0,0,0.0,65.804,65.804,65.804,0,0,0.0,0.0,0.017,0.102,0,0,0.0,0.0,0.0,0.0,0.0,0.001
140501,1405,14,KHM,Angkor Sar,Me Sang,Prey Veng,Cambodia,47.214,0,0,0.0,44.703,44.703,44.703,0,0,0.0,0.0,0.018,0.089,0,0,0.0,0.0,0.0,0.0,0.0,0.001
141301,1413,14,KHM,Angkor Tret,Svay Antor,Prey Veng,Cambodia,63.927,0,0,0.0,0.0,62.222,62.222,0,0,0.0,0.0,0.002,0.045,0,0,0.0,0.0,0.0,0.0,0.0,0.0
250201,2502,25,KHM,Anhchaeum,Tboung Khmum,Tboung Khmum,Cambodia,90.896,0,0,0.0,0.0,89.356,89.356,0,0,0.0,0.0,0.002,0.081,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40101,401,4,KHM,Anhchanh Rung,Baribour,Kampong Chhnang,Cambodia,10.468,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
70102,701,7,KHM,Ankor Chey,Angkor Chey,Kampot,Cambodia,25.805,0,0,0.0,22.987,22.987,22.987,0,0,0.0,0.0,0.005,0.058,0,0,0.0,0.0,0.0,0.0,0.0,0.001
190505,1905,19,KHM,Anlong Chrey,Thala Barivat,Stung Treng,Cambodia,49.729,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
