ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_pop_WPOP20,RP5_pop_WPOP20_exp,RP10_pop_WPOP20_exp,RP20_pop_WPOP20_exp,RP50_pop_WPOP20_exp,RP75_pop_WPOP20_exp,RP100_pop_WPOP20_exp,RP200_pop_WPOP20_exp,RP250_pop_WPOP20_exp,RP500_pop_WPOP20_exp,RP1000_pop_WPOP20_exp,RP5_pop_WPOP20_imp,RP10_pop_WPOP20_imp,RP20_pop_WPOP20_imp,RP50_pop_WPOP20_imp,RP75_pop_WPOP20_imp,RP100_pop_WPOP20_imp,RP200_pop_WPOP20_imp,RP250_pop_WPOP20_imp,RP500_pop_WPOP20_imp,RP1000_pop_WPOP20_imp,RP5_EAI,RP10_EAI,RP20_EAI,RP50_EAI,RP75_EAI,RP100_EAI,RP200_EAI,RP250_EAI,RP500_EAI,RP1000_EAI,pop_WPOP20_EAI,pop_WPOP20_EAI%
180201,1802,18,KHM,Andoung Thma,Prey Nob,Preah Sihanouk,Cambodia,5671.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200403,2004,20,KHM,Andoung Trabaek,Romeas Haek,Svay Rieng,Cambodia,6016.929,0.0,599.501,599.501,599.501,599.501,599.501,599.501,599.501,1060.34,1666.708,0.0,1.302,1.656,2.082,2.28,2.425,2.788,2.912,10.386,19.394,0.0,0.13,0.083,0.062,0.015,0.008,0.014,0.003,0.021,0.019,0.356,0.006
90101,901,9,KHM,Andoung Tuek,Botum Sakor,Koh Kong,Cambodia,4527.088,346.911,568.511,595.286,757.272,757.272,757.272,757.272,757.272,757.272,859.865,0.808,1.653,2.162,3.124,3.413,3.616,4.104,4.261,4.735,5.384,0.162,0.165,0.108,0.094,0.023,0.012,0.021,0.004,0.009,0.005,0.603,0.013
70609,706,7,KHM,Ang Sophy,Kampong Trach,Kampot,Cambodia,3817.7,0.0,0.0,0.0,0.0,0.0,0.0,412.022,412.022,412.022,605.39,0.0,0.0,0.0,0.0,0.0,0.0,0.921,0.97,1.102,1.647,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.002,0.002,0.009,0.0
211006,2110,21,KHM,Angk Kaev,Treang,Takeo,Cambodia,3726.479,0.0,635.464,926.332,1330.928,1374.379,1744.848,2679.932,2714.976,2714.976,2860.442,0.0,1.285,2.035,3.067,3.252,4.036,6.082,6.246,6.781,7.736,0.0,0.128,0.102,0.092,0.022,0.013,0.03,0.006,0.014,0.008,0.415,0.011
211002,2110,21,KHM,Angk Khnor,Treang,Takeo,Cambodia,3753.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70101,701,7,KHM,Angk Phnum Touch,Angkor Chey,Kampot,Cambodia,3326.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50301,503,5,KHM,Angk Popel,Kong Pisei,Kampong Speu,Cambodia,6374.298,0.0,17.178,26.593,71.933,91.432,118.419,164.372,180.833,197.91,240.666,0.0,0.034,0.054,0.143,0.182,0.235,0.327,0.36,0.398,0.485,0.0,0.003,0.003,0.004,0.001,0.001,0.002,0.0,0.001,0.0,0.016,0.0
210401,2104,21,KHM,Angk Prasat,Kiri Vong,Takeo,Cambodia,5972.312,348.784,463.222,621.433,1140.36,1591.785,1707.845,1777.06,1777.06,1777.06,1899.992,0.979,1.445,1.983,3.394,4.547,4.992,5.688,5.854,6.386,8.336,0.196,0.145,0.099,0.102,0.03,0.017,0.028,0.006,0.013,0.008,0.644,0.011
200404,2004,20,KHM,Angk Prasrae,Romeas Haek,Svay Rieng,Cambodia,4155.001,0.0,0.0,277.916,277.916,277.916,277.916,277.916,277.916,277.916,277.916,0.0,0.0,0.561,0.601,0.615,0.625,0.647,0.653,0.672,0.69,0.0,0.0,0.028,0.018,0.004,0.002,0.003,0.001,0.001,0.001,0.058,0.001
70509,705,7,KHM,Angk Romeas,Dang Tong,Kampot,Cambodia,8506.271,460.928,611.671,841.416,946.211,946.211,946.211,946.211,946.211,946.211,946.211,0.911,1.312,1.842,2.174,2.23,2.269,2.359,2.387,2.473,2.557,0.182,0.131,0.092,0.065,0.015,0.008,0.012,0.002,0.005,0.003,0.515,0.006
210901,2109,21,KHM,Angk Ta Saom,Tram Kak,Takeo,Cambodia,13925.099,3127.889,4776.272,5982.168,7171.304,7436.074,7659.006,8393.555,8533.479,9139.164,9743.342,6.575,10.658,13.847,17.268,18.29,19.094,21.417,21.985,24.107,26.279,1.315,1.066,0.692,0.518,0.122,0.064,0.107,0.022,0.048,0.026,3.98,0.029
200501,2005,20,KHM,Angk Ta Sou,Svay Chrum,Svay Rieng,Cambodia,4300.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210601,2106,21,KHM,Angkanh,Prey Kabbas,Takeo,Cambodia,4558.822,0.0,0.0,0.0,0.0,23.939,23.939,23.939,23.939,23.939,23.939,0.0,0.0,0.0,0.0,0.068,0.073,0.099,0.109,0.22,0.703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0
211001,2110,21,KHM,Angkanh,Treang,Takeo,Cambodia,3667.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230101,2301,23,KHM,Angkaol,Damnak Chang'aeur,Kep,Cambodia,12171.985,0.0,1151.474,2318.161,2920.439,3031.389,3573.051,4913.241,5252.384,6865.805,8273.282,0.0,2.304,5.062,8.391,9.395,10.96,15.105,16.273,21.12,25.961,0.0,0.23,0.253,0.252,0.063,0.037,0.076,0.016,0.042,0.026,0.994,0.008
140601,1406,14,KHM,Angkor Angk,Peam Chor,Prey Veng,Cambodia,2320.586,0.0,0.0,0.0,2216.797,2216.797,2216.797,2216.797,2216.797,2216.797,2216.797,0.0,0.0,0.0,9.922,16.364,21.254,34.514,39.132,54.238,73.684,0.0,0.0,0.0,0.298,0.109,0.071,0.173,0.039,0.108,0.074,0.871,0.038
21002,210,2,KHM,Angkor Ban,Sampov Lun,Battambang,Cambodia,1878.817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
