ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_pop_WPOP20,RP5_pop_WPOP20_C4,RP5_pop_WPOP20_C3,RP5_pop_WPOP20_C2,RP5_pop_WPOP20_C1,RP5_pop_WPOP20_C0,RP5_pop_WPOP20_C4_EAE,RP5_pop_WPOP20_C3_EAE,RP5_pop_WPOP20_C2_EAE,RP5_pop_WPOP20_C1_EAE,RP5_pop_WPOP20_C0_EAE,RP20_pop_WPOP20_C4,RP20_pop_WPOP20_C3,RP20_pop_WPOP20_C2,RP20_pop_WPOP20_C1,RP20_pop_WPOP20_C0,RP20_pop_WPOP20_C4_EAE,RP20_pop_WPOP20_C3_EAE,RP20_pop_WPOP20_C2_EAE,RP20_pop_WPOP20_C1_EAE,RP20_pop_WPOP20_C0_EAE,RP100_pop_WPOP20_C4,RP100_pop_WPOP20_C3,RP100_pop_WPOP20_C2,RP100_pop_WPOP20_C1,RP100_pop_WPOP20_C0,RP100_pop_WPOP20_C4_EAE,RP100_pop_WPOP20_C3_EAE,RP100_pop_WPOP20_C2_EAE,RP100_pop_WPOP20_C1_EAE,RP100_pop_WPOP20_C0_EAE,pop_WPOP20_C4_EAE,pop_WPOP20_C3_EAE,pop_WPOP20_C2_EAE,pop_WPOP20_C1_EAE,pop_WPOP20_C0_EAE,pop_WPOP20_C4_EAE%,pop_WPOP20_C3_EAE%,pop_WPOP20_C2_EAE%,pop_WPOP20_C1_EAE%,pop_WPOP20_C0_EAE%
70503,705,7,KHM,Khcheay Khang Cheung,Dang Tong,Kampot,Cambodia,3935.805,3935.806,3935.806,3935.806,3935.806,3935.806,787.161,787.161,787.161,787.161,787.161,3935.806,3935.806,3935.806,3935.806,3935.806,590.371,590.371,590.371,590.371,590.371,3935.806,3935.806,3935.806,3935.806,3935.806,157.432,157.432,157.432,157.432,157.432,1534.964,1534.964,1534.964,1534.964,1534.964,39.0,39.0,39.0,39.0,39.0
70504,705,7,KHM,Khcheay Khang Tboung,Dang Tong,Kampot,Cambodia,2050.385,1812.66,1812.66,1812.66,1812.66,1812.66,362.532,362.532,362.532,362.532,362.532,1812.66,1812.66,1812.66,1812.66,1812.66,271.899,271.899,271.899,271.899,271.899,1812.66,1812.66,1812.66,1812.66,1812.66,72.506,72.506,72.506,72.506,72.506,706.937,706.937,706.937,706.937,706.937,34.478,34.478,34.478,34.478,34.478
20407,204,2,KHM,Khlaeng Meas,Bavel,Battambang,Cambodia,12167.477,11573.939,11573.939,11573.939,11573.939,11573.939,2314.788,2314.788,2314.788,2314.788,2314.788,11573.939,11573.939,11573.939,11573.939,11573.939,1736.091,1736.091,1736.091,1736.091,1736.091,11573.939,11573.939,11573.939,11573.939,11573.939,462.958,462.958,462.958,462.958,462.958,4513.836,4513.836,4513.836,4513.836,4513.836,37.098,37.098,37.098,37.098,37.098
40805,408,4,KHM,Khlong Popok,Tuek Phos,Kampong Chhnang,Cambodia,4914.349,4811.284,4811.284,4811.284,4811.284,4811.284,962.257,962.257,962.257,962.257,962.257,4811.284,4811.284,4811.284,4811.284,4811.284,721.693,721.693,721.693,721.693,721.693,4811.284,4811.284,4811.284,4811.284,4811.284,192.451,192.451,192.451,192.451,192.451,1876.401,1876.401,1876.401,1876.401,1876.401,38.182,38.182,38.182,38.182,38.182
120803,1208,12,KHM,Khmuonh,Saensokh,Phnom Penh,Cambodia,66793.234,64407.47,64407.47,64407.47,64407.47,64407.47,12881.494,12881.494,12881.494,12881.494,12881.494,64407.47,64407.47,64407.47,64407.47,64407.47,9661.12,9661.12,9661.12,9661.12,9661.12,64407.47,64407.47,64407.47,64407.47,64407.47,2576.299,2576.299,2576.299,2576.299,2576.299,25118.913,25118.913,25118.913,25118.913,25118.913,37.607,37.607,37.607,37.607,37.607
20402,204,2,KHM,Khnach Romeas,Bavel,Battambang,Cambodia,10539.658,10170.166,10170.166,10170.166,10170.166,10170.166,2034.033,2034.033,2034.033,2034.033,2034.033,10170.166,10170.166,10170.166,10170.166,10170.166,1525.525,1525.525,1525.525,1525.525,1525.525,10170.166,10170.166,10170.166,10170.166,10170.166,406.807,406.807,406.807,406.807,406.807,3966.365,3966.365,3966.365,3966.365,3966.365,37.633,37.633,37.633,37.633,37.633
171303,1713,17,KHM,Khnang Phnum,Svay Leu,Siemreap,Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40702,407,4,KHM,Khnar Chhmar,Sameakki Mean Chey,Kampong Chhnang,Cambodia,5440.58,5268.448,5268.448,5268.448,5268.448,5268.448,1053.69,1053.69,1053.69,1053.69,1053.69,5268.448,5268.448,5268.448,5268.448,5268.448,790.267,790.267,790.267,790.267,790.267,5268.448,5268.448,5268.448,5268.448,5268.448,210.738,210.738,210.738,210.738,210.738,2054.695,2054.695,2054.695,2054.695,2054.695,37.766,37.766,37.766,37.766,37.766
171107,1711,17,KHM,Khnar Pou,Soutr Nikom,Siemreap,Cambodia,4711.554,4647.111,4647.111,4647.111,4647.111,4647.111,929.422,929.422,929.422,929.422,929.422,4647.111,4647.111,4647.111,4647.111,4647.111,697.067,697.067,697.067,697.067,697.067,4647.111,4647.111,4647.111,4647.111,4647.111,185.884,185.884,185.884,185.884,185.884,1812.373,1812.373,1812.373,1812.373,1812.373,38.467,38.467,38.467,38.467,38.467
31403,314,3,KHM,Khnar Sa,Srei Santhor,Kampong Cham,Cambodia,4053.466,3896.35,3896.35,3896.35,3896.35,3896.35,779.27,779.27,779.27,779.27,779.27,3896.35,3896.35,3896.35,3896.35,3896.35,584.453,584.453,584.453,584.453,584.453,3896.35,3896.35,3896.35,3896.35,3896.35,155.854,155.854,155.854,155.854,155.854,1519.577,1519.577,1519.577,1519.577,1519.577,37.488,37.488,37.488,37.488,37.488
